protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
P26368,0,1,1,0,1,0,1,1,0
P26640,1,1,0,1,0,0,1,1,0
P30566,0,1,0,1,1,0,1,1,0
P31943,1,1,0,1,1,0,0,1,0
P32969,1,1,0,1,1,0,0,1,0
P33991,0,1,1,1,0,0,1,1,0
P33993,0,1,1,1,0,0,1,1,0
P40429,1,1,0,1,1,0,0,1,0
P41227,1,0,1,1,0,0,1,1,0
P43686,1,1,0,1,0,0,1,1,0
P45974,1,1,0,1,0,0,1,1,0
P46109,0,1,0,1,1,0,1,1,0
P46776,1,1,0,1,1,0,0,1,0
P48147,1,1,0,1,1,0,0,1,0
P49454,0,1,1,1,0,1,0,1,0
P49589,1,1,1,1,0,0,0,1,0
P49736,0,1,1,1,0,0,1,1,0
P52597,1,1,0,1,0,0,1,1,0
P55327,0,1,1,1,0,0,1,1,0
P60983,1,0,0,1,1,0,1,1,0
P61313,1,1,0,1,0,0,1,1,0
P61326,0,1,0,1,1,0,1,1,0
P61758,1,1,0,1,1,0,0,1,0
P61960,1,0,0,1,1,0,1,1,0
P62266,1,1,0,1,0,0,1,1,0
P62633,0,0,1,1,1,0,1,1,0
P62847,1,1,0,1,1,0,0,1,0
P62917,1,1,1,1,0,0,0,1,0
P63220,1,0,1,1,0,0,1,1,0
P68036,0,1,0,1,1,1,1,0,0
P78330,1,1,0,1,1,0,0,1,0
P78527,1,1,0,1,0,0,1,1,0
P84090,0,1,0,1,1,0,1,1,0
P98175,1,1,1,0,0,1,0,1,0
Q02543,1,1,0,1,0,0,1,1,0
Q08211,1,1,1,1,0,0,0,1,0
Q08945,1,1,0,1,1,0,0,1,0
Q12765,0,0,0,1,1,1,1,1,0
Q13428,0,0,1,1,1,0,1,1,0
Q13616,0,1,0,1,1,0,1,1,0
Q14011,0,0,1,1,1,0,1,1,0
Q14566,0,1,1,1,0,0,1,1,0
Q15393,1,1,0,1,0,0,1,1,0
Q15417,1,1,1,0,0,1,0,1,0
Q15428,0,0,1,1,1,0,1,1,0
Q5SSJ5,1,0,1,1,1,0,0,1,0
Q7L2H7,0,1,0,1,1,0,1,1,0
Q8TEA8,1,1,1,1,0,0,0,1,0
Q8WW12,0,0,1,1,1,0,1,1,0
Q92841,1,1,1,1,0,0,0,1,0
Q93009,0,1,1,1,1,0,0,1,0
Q96CT7,1,0,1,1,0,0,1,1,0
Q99733,0,1,0,1,1,0,1,1,0
Q9BXJ9,1,1,1,1,0,0,0,1,0
Q9H3K6,1,0,0,1,1,0,1,1,0
Q9H6Z4,0,1,1,1,0,0,1,1,0
Q9H910,1,0,1,1,0,0,1,1,0
Q9NQG5,0,1,0,1,1,0,1,1,0
Q9NSD9,1,1,0,1,0,0,1,1,0
Q9UK76,1,0,1,1,0,0,1,1,0
Q9UMS4,1,1,0,1,1,0,0,1,0
Q9Y3C6,1,1,0,1,0,0,1,1,0
Q9Y570,1,1,0,1,1,0,0,1,0
A6NDG6,0,1,0,0,1,0,1,1,0
B5ME19,1,1,1,0,1,0,0,0,0
O00273,1,0,0,0,1,0,1,1,0
O00471,1,0,1,1,0,0,0,1,0
O14744,0,1,0,1,0,0,1,1,0
O14974,1,1,0,1,0,0,0,1,0
O43252,1,1,0,1,0,0,0,1,0
O43684,0,1,0,1,1,0,0,1,0
O60925,1,0,1,1,1,0,0,0,0
O75312,1,1,0,1,0,0,0,1,0
O75534,1,0,0,1,1,0,0,1,0
O75937,1,0,0,1,0,0,1,1,0
O94903,0,1,0,1,0,0,1,1,0
O95816,0,1,0,1,0,0,1,1,0
O95989,0,1,0,1,0,0,1,1,0
P04183,0,1,0,0,1,0,1,1,0
