protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
Q9Y2K7,0,0,1,1,0,0,0,1,0
Q9Y2Z0,0,1,0,1,0,0,0,1,0
Q9Y3A5,0,0,0,1,1,0,0,1,0
Q9Y3P9,1,0,1,0,0,0,0,1,0
Q9Y4A5,0,0,1,1,0,0,0,1,0
Q9Y4Z0,0,1,0,1,0,0,0,1,0
Q9Y520,1,0,0,0,0,0,1,1,0
Q9Y6M1,1,1,0,0,0,0,0,1,0
A1L3X4,0,0,0,0,0,1,1,0,0
A3KN83,0,0,1,0,0,0,0,1,0
A4UGR9,0,0,1,0,0,0,0,1,0
A6H8Y1,0,0,0,0,1,0,0,1,0
A6ND36,0,0,0,1,0,0,0,1,0
A6NHQ2,0,1,1,0,0,0,0,0,0
A8K8P3,0,0,1,0,0,0,0,1,0
A8MPX8,0,0,0,1,0,0,0,1,0
G2XKQ0,1,0,0,0,0,0,1,0,0
O00148,1,1,0,0,0,0,0,0,0
O00170,0,0,0,1,0,0,0,1,0
O00233,1,0,0,0,0,0,0,1,0
O00479,0,0,0,0,0,0,1,1,0
O00505,0,0,0,1,0,0,0,1,0
O00534,0,0,1,0,0,0,0,1,0
O14513,0,0,0,0,0,0,1,1,0
O14530,0,1,0,0,0,0,0,1,0
O14578,0,0,0,1,0,0,0,1,0
O14618,0,0,1,0,0,0,0,1,0
O14686,0,0,0,1,0,0,0,1,0
O14777,0,0,1,0,0,0,0,1,0
O15042,0,1,0,0,0,0,0,1,0
O15047,0,0,1,0,0,1,0,0,0
O15116,0,0,0,1,0,0,0,1,0
O15226,0,0,1,0,0,0,0,1,0
O15231,1,0,0,0,0,0,0,1,0
O15305,0,0,0,0,1,0,0,1,0
O15327,1,0,0,0,0,0,0,1,0
O15347,1,0,0,0,0,0,0,1,0
O15514,0,1,0,0,0,0,0,1,0
O43237,0,0,0,1,0,0,0,1,0
O43251,0,1,0,1,0,0,0,0,0
O43324,0,0,0,1,0,0,0,1,0
O43390,0,1,1,0,0,0,0,0,0
O43395,0,0,1,0,0,0,0,1,0
O43463,0,1,1,0,0,0,0,0,0
O43504,0,0,0,1,0,0,1,0,0
O43592,0,1,0,0,0,0,0,1,0
O43660,0,1,0,0,0,0,0,1,0
O43670,0,0,0,1,0,0,0,1,0
O60216,0,0,1,0,0,0,0,1,0
O60256,0,0,0,1,0,0,0,1,0
O60264,0,1,0,0,0,0,0,1,0
O60306,0,0,1,0,0,0,0,1,0
O60508,0,0,0,1,0,0,0,1,0
O60739,0,0,0,0,0,0,1,1,0
O60828,0,0,0,1,0,0,0,1,0
O60879,0,0,0,1,0,0,0,1,0
O75113,0,0,1,0,0,0,0,1,0
O75147,0,0,1,0,0,0,0,1,0
O75152,0,0,0,1,0,0,0,1,0
O75175,0,0,0,1,0,0,0,1,0
O75764,0,0,1,0,0,0,0,1,0
O75792,0,0,0,1,0,0,0,1,0
O75935,0,0,1,0,0,0,0,1,0
O76074,0,0,0,0,0,1,0,1,0
O76094,0,0,0,1,0,0,0,1,0
O94776,0,0,0,1,0,0,0,1,0
O94808,0,1,0,0,0,0,0,1,0
O94874,0,1,0,0,0,0,0,1,0
O94880,0,0,0,1,0,0,0,1,0
O94906,0,0,0,1,0,0,0,1,0
O94915,1,0,0,0,0,0,0,1,0
O95104,0,0,0,1,0,0,0,1,0
O95155,0,0,1,0,0,0,0,1,0
O95218,0,0,0,1,0,0,0,1,0
O95232,0,1,0,0,0,0,0,1,0
O95359,0,0,0,1,0,0,0,1,0
O95453,0,0,0,1,0,0,0,1,0
O95602,0,0,0,1,0,0,0,1,0
O95613,0,0,1,1,0,0,0,0,0
O95786,0,0,1,1,0,0,0,0,0
O95983,0,0,0,1,0,0,0,1,0
O95996,0,0,1,0,0,0,0,1,0
P05549,1,0,1,0,0,0,0,0,0
P06400,0,0,1,0,0,0,0,1,0
P07197,0,0,1,0,0,0,0,1,0
P08237,0,0,0,1,0,0,1,0,0
P08397,0,1,0,0,0,0,0,1,0
P08651,0,0,0,1,0,0,0,1,0
P09234,0,0,0,1,0,0,0,1,0
P09455,0,1,0,0,0,0,0,1,0
P09488,0,0,0,1,0,0,0,1,0
P09884,0,0,1,0,0,0,0,1,0
P09914,1,0,0,0,0,0,0,1,0
P0C7H8,0,0,0,0,1,0,1,0,0
P0DI83,0,0,1,1,0,0,0,0,0
P0DN76,0,0,0,1,0,0,0,1,0
P0DN79,0,0,0,1,0,0,0,1,0
P0DP91,0,0,0,0,1,1,0,0,0
P11171,0,0,0,1,0,0,0,1,0
P13533,0,0,1,0,0,0,0,1,0
P13807,0,0,0,1,0,0,0,1,0
P15918,0,0,1,0,0,0,0,1,0
P16401,0,0,1,0,0,0,0,1,0
P16403,0,0,0,1,0,0,1,0,0
P18583,0,0,0,1,0,0,0,1,0
P19174,0,0,1,0,0,0,0,1,0
P19971,0,1,0,0,0,0,0,1,0
P20393,0,0,1,1,0,0,0,0,0
P21359,0,0,1,0,0,0,0,1,0
P23610,0,1,0,0,0,0,0,1,0
P24864,0,0,1,0,0,0,0,1,0
P24928,0,0,0,1,0,0,0,1,0
P25205,0,1,0,0,0,0,1,0,0
P28749,0,0,0,1,0,0,0,1,0
P29762,0,0,0,1,0,0,0,1,0
P30519,0,0,0,1,0,0,0,1,0
P30876,0,1,0,0,0,0,0,1,0
P31150,0,1,1,0,0,0,0,0,0
P31483,0,0,0,1,0,0,0,1,0
P32321,1,0,0,0,0,0,0,1,0
P35244,0,0,0,1,0,0,0,1,0
P35249,0,0,0,1,0,0,0,1,0
P35658,0,0,0,1,0,0,0,1,0
P35659,0,0,0,1,0,0,0,1,0
P35813,0,1,0,0,0,0,0,1,0
P36959,1,0,0,0,0,0,0,1,0
P40394,0,0,1,1,0,0,0,0,0
P40938,1,0,0,0,0,0,0,1,0
P41208,0,0,0,1,0,0,0,1,0
P41214,0,0,1,0,0,0,0,1,0
P41223,0,0,0,0,0,0,1,1,0
P42224,0,0,0,1,0,0,0,1,0
P42695,0,0,1,1,0,0,0,0,0
P43246,0,0,0,1,0,0,0,1,0
P43364,0,0,1,1,0,0,0,0,0
P43378,1,0,0,0,0,0,0,1,0
P45973,0,0,0,1,0,0,0,1,0
P46100,0,0,0,0,0,0,1,1,0
P46736,0,0,0,0,0,0,1,1,0
P46937,0,0,1,1,0,0,0,0,0
P48507,1,0,0,0,0,0,0,1,0
P48539,0,0,0,1,0,0,1,0,0
P48552,0,0,1,0,0,0,0,1,0
P49247,0,1,0,0,0,0,0,1,0
P49366,0,1,0,0,0,0,0,1,0
P49459,0,1,0,0,0,0,0,1,0
P49593,0,0,0,0,0,0,1,1,0
P49750,0,0,0,1,0,0,0,1,0
P49756,0,0,0,1,0,0,0,1,0
P49770,0,0,0,1,0,0,0,1,0
P49790,0,0,0,1,0,0,0,1,0
P49902,0,1,0,0,0,0,0,1,0
P49959,0,0,1,0,0,0,0,1,0
P50748,0,0,1,0,0,0,0,1,0
P51003,0,0,0,1,0,0,0,1,0
P51114,0,1,0,0,0,0,0,1,0
P51116,0,0,0,1,0,0,0,1,0
P51610,0,0,0,1,0,0,0,1,0
P51784,0,1,0,0,0,0,0,1,0
P52732,0,0,1,0,0,0,0,1,0
P52943,0,0,0,1,0,0,0,1,0
P52952,0,0,1,0,0,0,0,1,0
P53602,0,1,0,0,0,0,0,1,0
P53804,0,0,0,0,1,0,0,1,0
P54105,0,0,0,1,0,0,0,1,0
P54277,0,0,1,0,0,0,0,1,0
P54619,0,0,0,1,0,0,0,1,0
P55196,1,0,0,0,0,0,0,1,0
P55212,0,1,0,0,0,0,0,1,0
P55795,0,0,0,1,0,0,0,1,0
P56182,0,0,1,0,0,0,0,1,0
P56545,0,1,0,0,0,0,0,1,0
P57071,0,0,1,0,0,0,0,1,0
P60510,0,1,0,0,0,0,0,1,0
P61218,1,0,0,0,0,0,0,1,0
P61927,0,0,1,0,0,0,0,1,0
P62191,0,1,0,0,0,0,0,1,0
P62714,1,1,0,0,0,0,0,0,0
P63151,0,1,0,0,0,0,0,1,0
P68400,0,0,0,1,0,0,0,1,0
P78316,0,0,1,0,0,0,0,1,0
P78318,0,1,0,0,0,0,0,1,0
P78346,0,0,1,0,0,0,0,1,0
P78406,1,0,0,0,0,0,0,1,0
P78559,0,0,0,0,0,1,0,1,0
P82970,0,0,1,1,0,0,0,0,0
P86452,0,0,0,1,0,0,0,1,0
Q01085,0,1,0,0,0,0,0,1,0
Q01415,0,0,0,0,1,0,0,1,0
Q03181,0,0,1,1,0,0,0,0,0
Q03923,1,0,0,0,1,0,0,0,0
Q05048,0,0,0,1,0,0,0,1,0
Q06330,0,0,1,0,0,0,0,1,0
Q06546,1,1,0,0,0,0,0,0,0
Q08752,0,1,0,0,0,0,0,1,0
Q08J23,1,0,0,0,0,0,0,1,0
Q0VF96,0,0,1,1,0,0,0,0,0
Q12766,0,0,1,0,0,0,0,1,0
Q12769,0,0,0,1,0,0,0,1,0
Q12815,0,1,1,0,0,0,0,0,0
Q12873,0,0,0,1,0,0,1,0,0
Q12899,0,0,1,0,0,0,0,1,0
Q13042,0,0,1,0,0,0,0,1,0
Q13045,0,0,0,1,0,0,0,1,0
Q13112,0,1,0,1,0,0,0,0,0
Q13188,0,0,0,1,0,0,0,1,0
Q13206,0,0,1,0,0,0,0,1,0
Q13232,0,0,0,1,0,0,0,1,0
Q13242,0,0,0,1,0,0,0,1,0
Q13257,0,1,0,0,0,0,0,1,0
Q13363,0,0,1,0,0,0,0,1,0
Q13395,0,0,1,1,0,0,0,0,0
Q13427,0,0,0,1,0,0,0,1,0
Q13523,0,0,0,1,0,0,0,1,0
Q13535,0,0,1,0,0,0,0,1,0
Q13541,0,0,1,0,0,0,1,0,0
Q13542,0,0,1,1,0,0,0,0,0
Q13547,0,1,0,1,0,0,0,0,0
Q13573,0,0,0,1,0,0,0,1,0
Q13601,0,1,0,0,0,0,0,1,0
Q13608,0,0,1,1,0,0,0,0,0
Q13617,0,1,0,0,0,0,0,1,0
Q13619,0,1,0,1,0,0,0,0,0
Q13642,0,0,0,1,0,0,0,1,0
Q13895,0,0,0,1,0,0,0,1,0
Q13946,0,0,1,1,0,0,0,0,0
Q13951,0,0,0,1,0,0,0,1,0
Q14139,0,0,1,0,0,0,0,1,0
Q14240,0,1,1,0,0,0,0,0,0
Q14353,0,0,0,1,0,0,0,1,0
Q14376,1,0,0,0,0,0,0,1,0
Q14498,0,0,0,1,0,0,0,1,0
Q14562,1,0,0,0,0,0,0,1,0
Q14671,0,0,0,1,0,0,0,1,0
Q14676,0,0,0,1,0,0,0,1,0
Q14690,0,0,0,1,0,0,0,1,0
Q14738,0,0,0,1,0,0,0,1,0
Q14781,0,0,1,0,0,0,0,1,0
Q14CM0,0,0,1,0,0,0,0,1,0
Q15007,0,1,0,0,0,0,0,1,0
Q15021,0,0,0,1,0,0,0,1,0
Q15050,0,0,0,1,0,0,0,1,0
Q15058,0,0,0,1,0,0,0,1,0
Q15147,0,0,0,0,0,0,1,1,0
Q15269,0,0,0,1,0,0,0,1,0
Q15287,0,0,0,1,0,0,0,1,0
Q15397,0,0,0,1,0,0,0,1,0
Q15427,0,1,0,0,0,0,0,1,0
Q15650,0,0,1,0,0,0,0,1,0
Q15678,1,0,0,1,0,0,0,0,0
Q15746,0,1,0,0,0,0,0,1,0
Q15772,0,0,1,0,0,0,0,1,0
Q15814,0,0,0,1,0,0,0,1,0
Q15911,0,0,0,1,0,0,0,1,0
Q16204,0,0,0,1,0,0,0,1,0
Q16666,0,0,0,1,0,0,0,1,0
Q16763,0,1,0,0,0,0,0,1,0
Q16774,0,0,0,1,0,0,0,1,0
Q29RF7,0,0,0,1,0,0,0,1,0
Q2KHR2,0,0,1,1,0,0,0,0,0
Q2M389,0,0,1,0,0,0,0,1,0
Q2NL82,0,0,0,1,0,0,0,1,0
Q2VWA4,1,0,1,0,0,0,0,0,0
Q4FZB7,0,1,0,0,0,0,0,1,0
Q4J6C6,0,0,0,1,0,0,0,1,0
Q53EL6,0,0,0,1,0,0,0,1,0
Q53FT3,0,1,0,0,0,0,0,1,0
Q53H96,0,1,0,0,0,0,0,1,0
Q53HC9,0,1,0,0,0,0,0,1,0
Q59H18,0,0,0,0,0,0,1,1,0
Q5JSL3,0,1,0,0,0,0,0,1,0
Q5JVF3,0,1,0,0,0,0,0,1,0
Q5K651,0,0,0,0,0,0,1,1,0
Q5QJE6,0,0,0,1,0,0,0,1,0
Q5SW79,0,0,0,1,0,1,0,0,0
Q5T2S8,0,0,0,1,0,0,0,1,0
Q5T5X7,0,0,0,0,0,1,0,1,0
Q5T7W0,1,0,0,0,0,0,0,1,0
Q5TA45,1,0,0,0,0,0,0,1,0
Q5UIP0,0,0,0,1,0,0,0,1,0
Q5VT06,1,0,0,0,0,0,0,1,0
Q5VTR2,0,0,0,1,0,0,0,1,0
Q5VTT5,1,0,0,0,0,0,0,1,0
Q5VWN6,0,0,0,0,0,1,0,1,0
Q69YN2,0,0,0,1,0,0,0,1,0
Q69YN4,1,0,0,0,0,0,0,1,0
Q6AW86,0,1,0,0,0,0,1,0,0
Q6AWC2,0,0,1,1,0,0,0,0,0
Q6DD87,0,1,0,0,0,0,0,1,0
Q6DHV7,0,0,0,1,0,0,0,1,0
Q6DKJ4,0,1,0,0,0,0,0,1,0
Q6IA69,0,0,1,0,0,0,0,1,0
Q6IA86,0,1,0,0,0,0,0,1,0
Q6IN85,0,0,1,0,0,0,0,1,0
Q6P1J9,0,1,0,0,0,0,0,1,0
Q6P2S7,1,0,0,0,0,0,0,1,0
Q6P5R6,0,1,0,0,0,0,0,1,0
Q6P6C2,0,0,1,1,0,0,0,0,0
Q6P9B6,0,0,0,0,0,1,0,1,0
Q6PCE3,0,0,0,0,0,1,0,1,0
Q6PF05,1,0,0,0,0,0,0,1,0
Q6PJT7,0,1,0,0,0,0,0,1,0
Q6R327,0,0,1,0,0,0,0,1,0
Q6RFH5,0,0,0,1,0,0,0,1,0
Q6TFL4,0,0,0,0,0,0,1,1,0
Q6ULP2,0,0,1,0,0,0,0,1,0
Q6UXN9,0,1,0,0,0,0,0,1,0
Q6WCQ1,0,0,0,0,0,1,0,1,0
Q6ZMI0,0,0,1,0,0,0,0,1,0
Q6ZNL6,0,1,0,0,0,0,0,1,0
Q6ZP01,0,0,0,0,0,0,1,1,0
Q6ZU35,0,0,1,0,0,0,0,1,0
Q6ZV73,0,0,1,0,0,0,0,1,0
Q702N8,0,0,1,0,0,0,0,1,0
Q7L5D6,0,0,1,0,0,0,0,1,0
Q7RTV0,0,0,0,1,0,0,0,1,0
Q7Z2T5,0,0,1,0,0,0,0,1,0
Q7Z2W4,0,0,0,1,0,0,0,1,0
Q7Z2Y8,0,0,1,0,0,0,0,1,0
Q7Z2Z2,0,0,0,1,0,0,0,1,0
Q7Z3K3,0,0,0,1,0,0,0,1,0
Q7Z4G1,0,0,0,1,0,0,0,1,0
Q7Z4K8,0,0,1,0,0,0,1,0,0
Q7Z4S6,0,0,0,1,0,0,0,1,0
Q7Z4V5,0,0,1,0,0,0,0,1,0
Q7Z5K2,0,0,0,1,0,0,0,1,0
Q7Z6E9,0,0,1,0,0,0,0,1,0
Q7Z6K5,0,0,0,0,0,1,0,1,0
Q7Z6R9,0,0,1,0,0,0,0,1,0
Q7Z7A1,0,0,1,0,0,0,0,1,0
Q7Z7L7,1,0,0,0,0,0,0,1,0
Q86SQ7,0,0,1,1,0,0,0,0,0
Q86T82,0,0,1,0,0,0,0,1,0
Q86VY4,0,0,1,0,0,0,0,1,0
Q86W92,0,0,0,1,0,0,0,1,0
Q86WJ1,0,0,0,1,0,0,0,1,0
Q86WQ0,0,1,0,0,0,0,0,1,0
Q86X55,0,1,0,0,0,0,0,1,0
Q86Y26,0,1,1,0,0,0,0,0,0
Q86Z02,0,0,1,0,0,0,0,1,0
Q8IUG5,0,1,0,0,0,0,1,0,0
Q8IVG5,0,0,0,0,1,0,0,1,0
Q8IVL1,0,1,0,0,0,0,0,1,0
Q8IWB7,0,0,0,0,0,0,1,1,0
Q8IWI9,0,0,0,0,0,1,0,1,0
Q8IWS0,0,0,0,0,0,0,1,1,0
Q8IWV8,0,1,0,0,0,0,0,1,0
Q8IX07,0,0,0,1,0,0,0,1,0
Q8IXH7,0,0,0,1,0,0,0,1,0
Q8IXJ9,0,0,1,0,0,0,0,1,0
Q8IY67,0,0,0,1,0,0,0,1,0
Q8IYH5,0,0,0,0,0,0,1,1,0
Q8IYL3,0,0,0,0,0,1,0,1,0
Q8IYW2,1,0,0,0,0,0,0,1,0
Q8IZ21,0,0,1,0,0,0,0,1,0
Q8IZL8,0,1,0,0,0,0,0,1,0
Q8N1G1,0,0,1,0,0,0,0,1,0
Q8N1Q1,0,0,1,0,0,0,0,1,0
Q8N2W9,0,1,0,0,0,0,0,1,0
Q8N392,1,1,0,0,0,0,0,0,0
Q8N3C0,0,0,1,0,0,0,0,1,0
Q8N3K9,0,0,1,0,0,0,0,1,0
Q8N4C6,0,0,1,0,0,0,0,1,0
Q8N4J0,0,0,0,1,0,0,0,1,0
Q8N543,0,1,0,0,0,0,0,1,0
Q8N556,0,0,1,0,0,0,0,1,0
Q8N684,0,0,0,1,0,0,0,1,0
Q8N7H5,0,0,0,1,0,0,0,1,0
Q8N7Z5,0,0,1,0,0,0,0,1,0
Q8N806,0,0,0,1,0,0,0,1,0
Q8N8A6,0,0,1,0,0,0,0,1,0
Q8N8N7,1,0,0,0,0,0,0,1,0
Q8N9T8,0,0,0,0,0,1,0,1,0
Q8NAV1,0,0,0,1,0,0,0,1,0
Q8NCA5,0,0,1,0,0,0,0,1,0
Q8ND56,0,0,0,1,0,0,0,1,0
Q8NDH3,0,0,0,0,0,0,1,1,0
Q8NEM8,0,0,1,0,0,1,0,0,0
Q8NEZ4,0,0,1,0,0,0,0,1,0
Q8NEZ5,0,1,0,0,0,0,0,1,0
Q8NFC6,0,0,1,0,0,0,0,1,0
Q8NFD5,0,0,1,0,0,0,0,1,0
Q8NFH4,0,0,0,1,0,0,0,1,0
Q8TAF3,0,1,0,0,0,0,0,1,0
Q8TD57,0,1,0,0,0,0,0,1,0
Q8TEK3,0,0,1,0,0,0,0,1,0
Q8TF05,0,0,0,1,0,0,0,1,0
Q8TF09,1,0,0,1,0,0,0,0,0
Q8WUA2,0,0,0,1,0,0,0,1,0
Q8WUH2,0,1,0,0,0,0,0,1,0
Q8WUI4,1,0,0,0,0,0,0,1,0
Q8WUM0,0,0,0,1,0,0,0,1,0
Q8WVM7,0,1,0,0,1,0,0,0,0
Q8WVV9,0,0,0,1,0,0,0,1,0
Q8WWQ0,0,0,0,1,0,0,0,1,0
Q8WWY3,0,0,0,1,0,0,0,1,0
Q8WXG6,0,0,1,0,0,0,0,1,0
Q8WXI9,0,0,0,1,0,0,0,1,0
Q8WXX0,0,0,0,0,0,1,0,1,0
Q8WYA0,0,0,0,0,0,0,0,1,1
Q8WYA1,0,0,1,1,0,0,0,0,0
Q8WYA6,0,0,0,1,0,0,0,1,0
Q8WYB5,0,0,1,1,0,0,0,0,0
Q92794,1,0,0,0,0,0,0,1,0
Q92834,0,0,0,1,0,0,0,1,0
Q92878,0,0,0,1,0,0,0,1,0
Q92879,0,0,0,1,0,0,0,1,0
Q92888,0,0,0,0,1,0,0,1,0
Q92925,0,1,0,0,0,0,0,1,0
Q92979,0,1,0,0,0,0,0,1,0
Q92995,0,0,1,0,0,0,0,1,0
Q969G3,0,0,0,1,0,0,0,1,0
Q969U7,0,1,0,0,0,0,0,1,0
Q96AQ6,0,0,0,1,0,0,0,1,0
Q96AZ6,0,0,0,0,1,0,0,1,0
Q96C90,0,1,0,0,0,0,0,1,0
Q96DB5,0,0,0,0,1,0,0,1,0
Q96EE3,0,0,0,1,0,0,0,1,0
Q96EP0,0,0,0,0,0,0,1,1,0
Q96GD4,0,0,1,0,0,0,0,1,0
Q96HE9,0,0,1,0,0,0,0,1,0
Q96I25,0,0,1,0,0,0,0,1,0
Q96J92,0,0,1,1,0,0,0,0,0
Q96JH7,0,0,0,0,1,0,0,1,0
Q96K83,0,0,1,1,0,0,0,0,0
Q96KM6,0,1,0,0,0,0,0,1,0
Q96KN1,0,0,0,1,0,0,0,1,0
Q96KP1,0,0,0,0,1,0,0,1,0
Q96KQ7,0,1,0,0,0,0,0,1,0
Q96KR1,0,1,0,0,0,0,0,1,0
Q96L73,0,0,1,0,0,0,0,1,0
Q96M27,0,0,0,1,0,0,0,1,0
Q96PZ0,0,0,0,1,0,0,0,1,0
Q96QC0,0,0,1,1,0,0,0,0,0
Q96QE3,0,0,1,0,0,0,0,1,0
Q96QR8,0,0,0,0,1,0,0,1,0
Q96RL7,0,0,0,0,1,0,0,1,0
Q96RY7,0,0,1,0,0,0,0,1,0
Q96T76,0,0,0,1,0,0,0,1,0
Q96T88,0,0,0,0,0,0,1,1,0
Q99459,0,0,0,1,0,0,0,1,0
Q99496,0,0,0,1,0,0,0,1,0
Q99567,0,0,0,1,0,0,0,1,0
Q99590,0,0,1,0,0,0,0,1,0
Q99698,0,0,1,0,0,0,0,1,0
Q99848,0,0,0,1,0,0,0,1,0
Q9BPU6,0,0,1,1,0,0,0,0,0
Q9BQ67,0,0,0,1,0,0,0,1,0
Q9BQA1,0,0,0,0,1,0,0,1,0
Q9BR09,0,0,1,1,0,0,0,0,0
Q9BRP8,0,0,1,0,0,0,0,1,0
Q9BSD7,0,0,0,1,0,0,0,1,0
Q9BUH6,0,0,0,1,0,0,0,1,0
Q9BUJ2,0,0,0,1,0,0,0,1,0
Q9BV20,0,0,0,1,0,0,0,1,0
Q9BV38,0,0,0,1,0,0,0,1,0
Q9BV86,0,0,0,1,0,0,0,1,0
Q9BVV6,0,0,1,1,0,0,0,0,0
Q9BWJ5,0,0,0,1,0,0,0,1,0
Q9BXT8,0,0,0,1,1,0,0,0,0
Q9BXX3,0,0,1,0,0,0,0,1,0
Q9BXY8,0,1,0,0,0,1,0,0,0
Q9BYW2,1,0,0,0,0,0,0,1,0
Q9BZE4,0,0,0,1,0,0,0,1,0
Q9BZJ0,0,0,0,1,0,0,0,1,0
Q9BZK7,0,0,0,1,0,0,0,1,0
Q9BZM3,0,0,1,1,0,0,0,0,0
Q9C000,0,0,0,1,1,0,0,0,0
Q9C0B2,0,0,1,0,0,1,0,0,0
Q9C0C2,0,0,0,1,0,0,0,1,0
Q9C0C9,0,1,0,0,0,0,0,1,0
Q9C0E2,0,0,0,1,0,0,0,1,0
Q9C0G6,0,0,1,0,0,0,0,1,0
Q9GZL7,0,1,0,0,0,0,0,1,0
Q9GZP4,0,1,0,0,0,0,0,1,0
Q9GZP8,1,0,0,0,0,0,0,1,0
Q9GZR2,0,1,0,1,0,0,0,0,0
Q9GZS3,0,0,0,1,0,0,0,1,0
Q9GZZ9,0,1,0,0,0,0,0,1,0
Q9H074,0,1,0,0,0,0,0,1,0
Q9H0A0,0,0,0,1,0,0,0,1,0
Q9H0I3,0,0,1,0,1,0,0,0,0
Q9H116,0,0,1,0,0,0,0,1,0
Q9H2C0,0,1,0,0,0,0,0,1,0
Q9H2D6,0,0,0,1,0,0,0,1,0
Q9H2T7,0,0,1,1,0,0,0,0,0
Q9H4A3,0,1,0,0,0,0,0,1,0
Q9H4H8,0,0,0,0,0,0,1,1,0
Q9H5L6,0,0,1,0,1,0,0,0,0
Q9H5U6,0,0,1,0,0,0,0,1,0
Q9H8M2,1,0,0,1,0,0,0,0,0
Q9H8X2,0,1,1,0,0,0,0,0,0
Q9H8Y8,0,1,0,0,0,0,0,1,0
Q9H9A6,0,0,0,1,0,0,0,1,0
Q9H9Q2,0,1,0,0,0,0,0,1,0
Q9HAB8,0,1,0,0,0,0,0,1,0
Q9HAW4,0,0,1,0,0,0,0,1,0
Q9HCH0,0,0,1,0,0,0,0,1,0
Q9HCM1,0,0,1,0,0,0,0,1,0
Q9HCU9,0,0,0,0,0,1,0,1,0
Q9NP77,0,1,0,0,0,0,0,1,0
Q9NPF4,0,0,0,1,0,0,0,1,0
Q9NPF5,0,0,1,0,0,0,0,1,0
Q9NRC6,0,0,1,0,0,0,0,1,0
Q9NS73,1,0,1,0,0,0,0,0,0
Q9NSI6,0,0,1,0,0,0,0,1,0
Q9NSK0,0,0,1,0,0,0,0,1,0
Q9NT62,0,1,0,0,0,0,0,1,0
Q9NTJ4,0,0,1,0,0,0,0,1,0
Q9NTX5,0,1,0,1,0,0,0,0,0
Q9NV70,0,1,0,0,0,0,0,1,0
Q9NVC6,0,0,1,0,0,0,0,1,0
Q9NVP1,0,0,0,1,0,0,0,1,0
Q9NVX2,0,1,0,0,0,0,0,1,0
Q9NW08,0,0,1,0,0,0,0,1,0
Q9NW13,0,0,0,0,0,0,1,1,0
Q9NW64,0,1,0,0,0,0,0,1,0
Q9NWH9,0,0,0,1,0,0,0,1,0
Q9NX02,0,0,0,1,0,0,0,1,0
Q9NX05,0,0,1,1,0,0,0,0,0
Q9NX24,0,0,0,1,0,0,0,1,0
Q9NXF1,0,0,0,1,0,0,0,1,0
Q9NXH9,0,1,0,0,0,0,0,1,0
Q9NXN4,0,0,1,0,0,0,0,1,0
Q9NY12,0,0,0,1,0,0,0,1,0
Q9NYC9,0,1,0,0,0,0,0,1,0
Q9NYF0,0,1,0,0,0,0,0,1,0
Q9NZL4,0,1,0,0,0,0,0,1,0
Q9P0U4,0,0,0,0,0,1,0,1,0
Q9P1Q0,0,0,1,0,0,0,0,1,0
Q9P219,0,0,1,0,0,0,0,1,0
Q9P275,0,0,0,1,0,0,0,1,0
Q9P2I0,0,1,0,0,0,0,0,1,0
Q9P2K1,0,0,0,0,0,1,1,0,0
Q9P2K5,0,0,0,1,0,0,0,1,0
Q9P2M7,0,0,1,0,0,0,0,1,0
Q9P2R6,0,0,1,0,0,0,0,1,0
Q9UBL3,0,0,1,0,0,0,0,1,0
Q9UBU8,0,0,0,1,0,0,0,1,0
Q9UDT6,0,1,0,0,0,0,0,1,0
Q9UFH2,0,0,1,0,0,0,0,1,0
Q9UGI8,0,0,0,1,0,0,0,1,0
Q9UGK3,0,0,0,0,0,1,1,0,0
Q9UGL1,0,0,0,0,1,0,0,1,0
Q9UHJ6,0,1,0,0,0,0,0,1,0
Q9UHV7,1,0,0,0,0,0,0,1,0
Q9UHW5,0,0,0,0,0,1,0,1,0
Q9UHY1,0,1,0,0,0,0,0,1,0
Q9UI10,0,0,0,1,0,0,0,1,0
Q9UI26,0,1,0,0,0,0,0,1,0
Q9UIC8,1,0,0,0,0,0,0,1,0
Q9UIV1,0,0,0,1,0,0,0,1,0
Q9UJX3,0,1,0,0,0,0,0,1,0
Q9UJX5,0,0,0,1,0,0,0,1,0
Q9UKD2,0,1,0,0,0,0,0,1,0
Q9UKL0,0,0,0,1,0,0,0,1,0
Q9UL63,0,0,0,0,0,0,1,1,0
Q9ULH1,0,0,1,0,0,0,0,1,0
Q9ULI0,0,0,0,1,0,0,0,1,0
Q9ULL8,0,0,0,0,0,1,0,1,0
Q9ULQ0,0,0,1,0,0,1,0,0,0
Q9UMN6,0,0,0,0,0,1,0,1,0
Q9UNX4,0,1,0,0,0,0,0,1,0
Q9UPN9,0,0,1,0,0,0,0,1,0
Q9UPR6,0,0,1,0,0,0,0,1,0
Q9UPS8,0,0,1,0,0,0,0,1,0
Q9Y233,0,0,1,1,0,0,0,0,0
Q9Y294,0,1,0,0,0,0,0,1,0
Q9Y295,0,0,0,1,0,0,0,1,0
Q9Y2K3,0,0,1,0,0,0,0,1,0
Q9Y2T3,0,1,0,0,0,0,0,1,0
Q9Y2W2,0,0,0,0,1,0,0,1,0
Q9Y2X3,0,0,0,1,0,0,0,1,0
